accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-01-22,20:51:51,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-23,09:28:28,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-03,21:47:47,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-22,10:16:16,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-07,13:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-23,01:44:44,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-05-31,01:58:58,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2015-10-03,02:49:49,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-18,23:54:54,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-21,11:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-27,10:56:56,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-08,06:47:47,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-03-14,23:58:58,ศรีรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2016-08-29,14:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-16,06:53:53,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-23,23:57:57,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-15,06:25:25,ศรีรัช,ปกติ,3,6,0,0,ขับรถเร็วเกินไป
2016-03-02,22:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-19,08:38:38,ศรีรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2016-04-12,05:09:09,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-05,14:02:02,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
